pdb_id,chain,chain_type
7z1x,B,heavy
8sr0,Y,heavy
8fcz,C,heavy
8afe,D,heavy
7yk4,H,heavy
8c5h,N,heavy
8dpm,I,heavy
7ymh,D,heavy
8dun,H,heavy
8gv1,A,heavy
8deq,H,heavy
8fxs,D,heavy
8c7j,A,heavy
8c7v,A,heavy
8eji,H,heavy
7zqt,G,heavy
7xrz,B,heavy
8g85,H,heavy
8il3,B,heavy
8bcz,A,heavy
7v64,B,heavy
7ty0,K,heavy
8hhy,G,heavy
8dl6,D,heavy
7t86,H,heavy
7ox3,A,heavy
7yds,B,heavy
8z2e,B,heavy
8e99,E,heavy
7uov,H,heavy
8dua,H,heavy
7woa,D,heavy
7t92,H,heavy
7r1z,C,heavy
7ul5,D,heavy
7whi,D,heavy
7t5f,E,heavy
7qcq,A,heavy
7uen,H,heavy
7r4r,D,heavy
7w1s,B,heavy
7fjs,C,heavy
7qia,C,heavy
7u8c,H,heavy
7zwi,C,kappa
9x1h,M,kappa
9p4c,L,kappa
9bop,B,kappa
9ook,L,kappa
9vuz,A,kappa
9sgh,B,kappa
9uk5,L,kappa
9hh9,D,kappa
9lrf,L,kappa
9n5h,E,kappa
9luk,L,kappa
9jpv,D,kappa
9msp,D,kappa
9gjv,L,kappa
9kvd,B,kappa
9kve,F,kappa
9kve,G,kappa
9j05,C,kappa
9cu7,L,kappa
9e21,L,kappa
9g6s,L,kappa
9jin,D,kappa
9nab,C,kappa
9cjy,L,kappa
8zyx,J,kappa
9cfg,L,kappa
9jt1,D,kappa
9kyo,L,kappa
9dmb,A,kappa
9jqu,L,kappa
9l2k,L,kappa
9bth,L,kappa
9ml4,L,kappa
9ml5,N,kappa
9ml9,L,kappa
8og0,L,kappa
8zeu,L,kappa
8znu,A,kappa
9msy,L,kappa
9dmf,L,kappa
9fns,F,kappa
8zca,B,kappa
9ixv,L,kappa
9evz,L,kappa
8z4c,D,kappa
8ulr,L,kappa
9dhy,B,kappa
8tjr,L,kappa
8tdx,D,kappa
8to7,L,kappa
8top,L,kappa
9dmj,G,kappa
9dmq,G,kappa
8zua,D,kappa
8uio,L,kappa
8hlc,L,kappa
9bjg,L,kappa
9bjh,M,kappa
9cci,C,kappa
9h4r,Y,kappa
8tq4,L,kappa
8rvn,L,kappa
8tzy,E,kappa
9b44,L,kappa
8tl2,L,kappa
8tl3,H,kappa
8tl4,H,kappa
8tl5,H,kappa
8vy4,B,kappa
8ry2,L,kappa
8t51,B,kappa
8tmy,L,kappa
9b8j,F,kappa
9uaa,F,kappa
8guz,B,kappa
8khr,L,kappa
8xbf,G,kappa
8jn4,L,kappa
8wsu,F,kappa
8sve,M,kappa
8tnl,L,kappa
8r80,B,kappa
8vzn,C,kappa
8vzo,D,kappa
8tqi,J,kappa
8sj4,L,kappa
8tq7,L,kappa
8w0y,L,kappa
8dm3,L,kappa
8sdg,B,kappa
8vfu,A,kappa
8uf7,A,kappa
7yoy,I,kappa
8vtd,A,kappa
8jlw,L,kappa
8acf,L,kappa
8g8n,E,kappa
8t5c,I,kappa
8u1d,J,kappa
8cn9,A,kappa
8kad,A,kappa
8tlm,B,kappa
8cr9,B,kappa
8t7f,L,kappa
8tfn,L,kappa
8w84,B,kappa
8fan,B,kappa
8pq2,L,kappa
8h8q,L,kappa
8tp6,L,kappa
8b50,L,kappa
8gy5,B,kappa
7uz4,L,kappa
8sak,L,kappa
8tco,D,kappa
8tco,G,kappa
8dyw,L,kappa
8dwo,L,kappa
7yds,C,kappa
8eeu,L,kappa
8pe9,L,kappa
7y6l,L,kappa
8c7v,B,kappa
8gbw,L,kappa
8gbz,L,kappa
8cwi,L,kappa
8f6l,B,kappa
8f6o,B,kappa
8g6i,B,kappa
8gb8,L,kappa
7yru,L,kappa
8cc0,L,kappa
8gs9,K,kappa
7uja,D,kappa
8vsj,L,kappa
8fr6,E,kappa
8g85,L,kappa
8heb,D,kappa
8gzz,D,kappa
7uop,L,kappa
8ror,L,kappa
8il3,A,kappa
7x96,L,kappa
7wsl,L,kappa
8hsc,E,kappa
8c7h,K,kappa
7zmk,C,kappa
8df1,N,kappa
7tcq,L,kappa
8hit,B,kappa
7wn8,Q,kappa
8dgv,L,kappa
8hc8,L,kappa
7unb,E,kappa
7u5b,L,kappa
8ddk,B,kappa
8dtr,F,kappa
7s0j,L,kappa
7u8g,E,kappa
7t2p,L,kappa
7uvf,Y,kappa
7wry,L,kappa
7x6a,L,kappa
8ds5,B,kappa
7wg3,B,kappa
7tl0,E,kappa
7x7t,D,kappa
8a1e,C,kappa
7u0a,L,kappa
7fbi,M,kappa
7wwl,N,kappa
7tp3,L,kappa
8fzp,B,kappa
7s8g,L,kappa
7q6c,L,kappa
7pc2,P,kappa
8w5w,L,kappa
8xlk,H,kappa
8xsd,L,kappa
9cqb,A,kappa
9d6f,L,kappa
8bf0,L,kappa
9cql,D,kappa
9bns,B,kappa
8eq6,L,kappa
9mml,N,kappa
8zr4,G,kappa
8t6m,C,kappa
8sj4,D,kappa
9cbn,B,kappa
8jag,L,kappa
8zxw,B,kappa
8y31,A,kappa
8zre,L,kappa
8wze,L,kappa
9bdf,I,kappa
8ulh,L,kappa
8us8,B,kappa
8veg,A,kappa
9jub,C,kappa
8yhz,L,kappa
8vlt,L,kappa
8k18,D,kappa
8k19,B,kappa
9bhb,K,kappa
8r38,L,kappa
8ukh,L,kappa
8w70,A,kappa
9jbq,B,kappa
9hxo,M,lambda
9n5z,B,lambda
8gtp,L,lambda
9js7,M,lambda
9osr,N,lambda
9mtm,L,lambda
7t5o,L,lambda
9naq,L,lambda
9kvd,F,lambda
8sef,L,lambda
9mq8,M,lambda
9b6n,L,lambda
9btv,L,lambda
9iyy,L,lambda
9jt1,L,lambda
8rex,I,lambda
8xi6,E,lambda
9btj,L,lambda
9mjd,N,lambda
9btl,L,lambda
9fq3,F,lambda
9r2e,B,lambda
9fjk,L,lambda
8rew,I,lambda
8vpf,N,lambda
8ykt,L,lambda
9bll,L,lambda
9dry,H,lambda
7ps0,C,lambda
7wrl,B,lambda
8si1,C,lambda
8sja,E,lambda
9cbn,F,lambda
8y57,D,lambda
9dzq,F,lambda
8udr,E,lambda
8v5l,C,lambda
8vdl,L,lambda
8tmz,L,lambda
8rpb,L,lambda
8g8d,L,lambda
8zc5,D,lambda
8qtd,L,lambda
8tnn,I,lambda
8gav,L,lambda
8crb,B,lambda
7x8p,B,lambda
8hes,L,lambda
8g19,L,lambda
8tp5,F,lambda
8ef2,L,lambda
8tea,I,lambda
8ebp,L,lambda
7trh,B,lambda
8dpm,J,lambda
8def,V,lambda
8gv1,B,lambda
7ytn,L,lambda
7yvo,L,lambda
8e8y,L,lambda
8gb5,C,lambda
8say,D,lambda
7u8e,L,lambda
8dg9,L,lambda
8s6m,L,lambda
7ox2,C,lambda
7ox3,B,lambda
7xst,O,lambda
7s1b,Y,lambda
7myt,B,lambda
7uot,L,lambda
8d3a,L,lambda
8dfh,L,lambda
8dfi,L,lambda
7uce,L,lambda
8cw9,D,lambda
7wo4,E,lambda
7ssv,L,lambda
7wro,L,lambda
7s11,O,lambda
8ez3,L,lambda
7t4q,G,lambda
7xxl,C,lambda
7ryv,Q,lambda
7wti,L,lambda
7ryu,L,lambda
7seg,B,lambda
7x9e,D,lambda
7s13,L,lambda
